,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
907,,,,,,TOTALS:,156049.0,14164.0,81479.0,96067.0,0.147438766694,0.848147646955,CLAYTON,right_only
908,,,,,,TOTALS:,415314.0,171722.0,133124.0,309870.0,0.554174331171,0.429612418111,COBB,right_only
909,,,,,,TOTALS:,418611.0,64392.0,238224.0,305908.0,0.210494658525,0.778743936085,DEKALB,right_only
910,,,,,,TOTALS:,567174.0,137124.0,255470.0,397255.0,0.345178789443,0.643088192723,FULTON,right_only
911,,,,,,TOTALS:,395934.0,159855.0,132509.0,296496.0,0.53914723976,0.446916653176,GWINNETT,right_only
912,,,,,,CHAMBLEE ,2761.0,885.0,1051.0,1981.0,0.446744068652,0.530540131247,DEKALB,right_only
913,,,,,,HAWTHORNE ELEM - CHAMBLEE,264.0,79.0,102.0,189.0,0.417989417989,0.539682539683,DEKALB,right_only
914,,,,,,KITTREDGE BROOKHAVEN,560.0,269.0,185.0,462.0,0.582251082251,0.400432900433,DEKALB,right_only
915,,,,,,SKYLAND - BROOKHAVEN,1684.0,662.0,550.0,1246.0,0.531300160514,0.441412520064,DEKALB,right_only
916,,,,,,SKYLAND - CHAMBLEE,6.0,3.0,2.0,7.0,0.428571428571,0.285714285714,DEKALB,right_only
917,,,,,,WARREN TECH- CHAMBLEE,674.0,206.0,262.0,478.0,0.430962343096,0.548117154812,DEKALB,right_only
918,,,,,,CP05A,0.0,9.0,49.0,58.0,0.155172413793,0.844827586207,FULTON,right_only
919,,,,,,ML01A,0.0,55.0,22.0,77.0,0.714285714286,0.285714285714,FULTON,right_only
